"","Treatment","Disease","Beaker.conditions","Nutrients","Day","meanNH4","sdNH4","seNH4"
"185","HN_28","Placebo","Blank","HN",1,5.59,0.0141421356237306,0.00999999999999979
"186","HN_28","Placebo","Blank","HN",2,2.765,0.289913780286485,0.205
"187","HN_28","Placebo","Blank","HN",3,1.565,0.346482322781408,0.245
"188","HN_28","Placebo","Blank","HN",4,1.145,0.445477272147525,0.315
"189","HN_28","Placebo","Blank","HN",7,1.565,0.346482322781408,0.245
"190","HN_28","Placebo","Blank","HN",9,0.51,0.226274169979695,0.16
"191","HN_28","Placebo","Blank","HN",11,0.335,0.388908729652601,0.275
"192","HN_28","Placebo","Blank","HN",14,0.05,0.0282842712474619,0.02
"193","HN_28","Placebo","Blank","HN",15,0.135,0.120208152801713,0.085
"194","HN_28","Placebo","Blank","HN",16,0.295,0.00707106781186548,0.005
"195","HN_28","Placebo","Blank","HN",18,0.655,0.176776695296637,0.125
"196","HN_28","Placebo","Blank","HN",21,0.4,0.268700576850888,0.19
"197","HN_28","Placebo","Blank","HN",23,0.015,0.00707106781186548,0.005
"198","HN_28","Placebo","Blank","HN",25,2.805,0.176776695296637,0.125
"199","HN_28","Placebo","Blank","HN",29,1.39,1.11722871427475,0.79
"200","HN_28","Placebo","Blank","HN",31,1.69,0.466690475583121,0.33
"201","HN_28","Placebo","Blank","HN",35,5.4425,0.18031222920257,0.1275
"202","HN_28","Placebo","Blank","HN",37,2.79,0.664680374315355,0.47
"203","HN_28","Placebo","Blank","HN",39,0.48,0.650538238691624,0.46
"204","HN_28","Placebo","Blank","HN",42,3.285,0.799030662740799,0.565
"205","HN_28","Placebo","Blank","HN",45,0.715,0.869741340859454,0.615
"206","HN_28","Placebo","Blank","HN",50,0.12,0.0282842712474619,0.02
"207","HN_28","Placebo","Blank","HN",52,0.21,0.0989949493661167,0.07
"208","HN_28","Placebo","Coral","HN",1,4.47333333333333,0.871167798609047,0.502968963036267
"209","HN_28","Placebo","Coral","HN",2,1.79,0.565066367783467,0.326241219549789
"210","HN_28","Placebo","Coral","HN",3,0.13,0.0173205080756888,0.01
"211","HN_28","Placebo","Coral","HN",4,0.526666666666667,0.17156145643277,0.0990510530540242
"212","HN_28","Placebo","Coral","HN",7,0.13,0.0173205080756888,0.01
"213","HN_28","Placebo","Coral","HN",9,0.363333333333333,0.310859024854247,0.179474541679624
"214","HN_28","Placebo","Coral","HN",11,0.113333333333333,0.087368949480541,0.0504424865014052
"215","HN_28","Placebo","Coral","HN",14,0.09,0.02,0.0115470053837925
"216","HN_28","Placebo","Coral","HN",15,0.173333333333333,0.0378593889720018,0.02185812841434
"217","HN_28","Placebo","Coral","HN",16,0.193333333333333,0.135769412362775,0.0783865067753656
"218","HN_28","Placebo","Coral","HN",18,0.143333333333333,0.0461880215351701,0.0266666666666667
"219","HN_28","Placebo","Coral","HN",21,0.493333333333333,0.149777612924407,0.0864741451404857
"220","HN_28","Placebo","Coral","HN",23,0.0266666666666667,0.0305505046330389,0.0176383420737639
"221","HN_28","Placebo","Coral","HN",25,0.926666666666667,0.613297100379036,0.354087245997053
"222","HN_28","Placebo","Coral","HN",29,0.191666666666667,0.111840660465384,0.064571235426035
"223","HN_28","Placebo","Coral","HN",31,0.516666666666667,0.0351188458428425,0.0202758751009941
"224","HN_28","Placebo","Coral","HN",35,2.31333333333333,1.05841075832275,0.611073736230834
"225","HN_28","Placebo","Coral","HN",37,0.38,0.23895606290697,0.137961347243833
"226","HN_28","Placebo","Coral","HN",39,0.956666666666667,0.185022521151706,0.10682280239308
"227","HN_28","Placebo","Coral","HN",42,0.91,1.22991869649989,0.710093890505568
"228","HN_28","Placebo","Coral","HN",45,0.256666666666667,0.245424801789333,0.141696075378882
"229","HN_28","Placebo","Coral","HN",50,0.13,0.02,0.0115470053837925
"230","HN_28","Placebo","Coral","HN",52,0.3,0.098488578017961,0.0568624070307733
"231","HN_28","SCTLD","Blank","HN",1,5.87,0.523259018078045,0.37
"232","HN_28","SCTLD","Blank","HN",2,3.17,0.240416305603426,0.17
"233","HN_28","SCTLD","Blank","HN",3,1.69,0.381837661840736,0.27
"234","HN_28","SCTLD","Blank","HN",4,1.275,0.431335136523794,0.305
"235","HN_28","SCTLD","Blank","HN",7,1.69,0.381837661840736,0.27
"236","HN_28","SCTLD","Blank","HN",9,0.405,0.120208152801713,0.085
"237","HN_28","SCTLD","Blank","HN",11,0.205,0.120208152801713,0.085
"238","HN_28","SCTLD","Blank","HN",14,0.09,0.0282842712474619,0.02
"239","HN_28","SCTLD","Blank","HN",15,0.195,0.148492424049175,0.105
"240","HN_28","SCTLD","Blank","HN",16,0.39,0.0424264068711929,0.03
"241","HN_28","SCTLD","Blank","HN",18,1.67,1.34350288425444,0.95
"242","HN_28","SCTLD","Blank","HN",21,0.555,0.530330085889911,0.375
"243","HN_28","SCTLD","Blank","HN",23,0.26,0.212132034355964,0.15
"244","HN_28","SCTLD","Blank","HN",25,5.88,1.25865007051205,0.89
"245","HN_28","SCTLD","Blank","HN",29,3.565,0.982878425849301,0.695
"246","HN_28","SCTLD","Blank","HN",31,3.045,1.71826947828331,1.215
"247","HN_28","SCTLD","Blank","HN",35,11.02,3.63452885529885,2.57
"248","HN_28","SCTLD","Blank","HN",37,6.86,1.34350288425444,0.95
"249","HN_28","SCTLD","Blank","HN",39,9.16,1.86676190233249,1.32
"250","HN_28","SCTLD","Blank","HN",42,7.805,5.67806745292798,4.015
"251","HN_28","SCTLD","Blank","HN",45,5.66,4.53962553521763,3.21
"252","HN_28","SCTLD","Blank","HN",50,0.89,0.311126983722081,0.22
"253","HN_28","SCTLD","Blank","HN",52,0.59,NA,NA
"254","HN_28","SCTLD","Coral","HN",1,4.274375,0.703817862328979,0.175954465582245
"255","HN_28","SCTLD","Coral","HN",2,1.793125,0.715548449326343,0.178887112331586
"256","HN_28","SCTLD","Coral","HN",3,0.57125,0.503956016599333,0.125989004149833
"257","HN_28","SCTLD","Coral","HN",4,0.705625,0.689936893249424,0.172484223312356
"258","HN_28","SCTLD","Coral","HN",7,0.57125,0.503956016599333,0.125989004149833
"259","HN_28","SCTLD","Coral","HN",9,0.566875,0.34120802550155,0.0853020063753876
"260","HN_28","SCTLD","Coral","HN",11,0.1734375,0.162897910258747,0.0407244775646867
"261","HN_28","SCTLD","Coral","HN",14,0.1378125,0.135141515333619,0.0337853788334046
"262","HN_28","SCTLD","Coral","HN",15,0.214666666666667,0.273779542872067,0.0706895740050531
"263","HN_28","SCTLD","Coral","HN",16,0.27125,0.200661406354087,0.0501653515885217
"264","HN_28","SCTLD","Coral","HN",18,2.48125,1.26774800335082,0.316937000837706
"265","HN_28","SCTLD","Coral","HN",21,0.9596875,0.633178407586151,0.158294601896538
"266","HN_28","SCTLD","Coral","HN",23,1.61,0.948590181971821,0.237147545492955
"267","HN_28","SCTLD","Coral","HN",25,3.0359375,1.4704253565437,0.367606339135925
"268","HN_28","SCTLD","Coral","HN",29,2.2553125,0.780673787506664,0.195168446876666
"269","HN_28","SCTLD","Coral","HN",31,1.7634375,0.943851539791437,0.235962884947859
"270","HN_28","SCTLD","Coral","HN",35,5.871875,1.89679455485652,0.474198638714129
"271","HN_28","SCTLD","Coral","HN",37,3.3671875,1.10646881075187,0.276617202687969
"272","HN_28","SCTLD","Coral","HN",39,4.51125,1.62477844643508,0.406194611608771
"273","HN_28","SCTLD","Coral","HN",42,3.603125,2.41337514351444,0.603343785878609
"274","HN_28","SCTLD","Coral","HN",45,2.06375,1.94191958295566,0.485479895738914
"275","HN_28","SCTLD","Coral","HN",50,9.2440625,16.886157962342,4.2215394905855
"276","HN_28","SCTLD","Coral","HN",52,5.735,10.518122456028,3.50604081867599
"277","HN_31","Placebo","Blank","HN",1,5.62,0.721248916810278,0.51
"278","HN_31","Placebo","Blank","HN",2,2.765,0.388908729652601,0.275
"279","HN_31","Placebo","Blank","HN",3,0.965,0.403050865276332,0.285
"280","HN_31","Placebo","Blank","HN",4,0.55,0.240416305603426,0.17
"281","HN_31","Placebo","Blank","HN",7,0.965,0.403050865276332,0.285
"282","HN_31","Placebo","Blank","HN",9,0.21,0.0424264068711929,0.03
"283","HN_31","Placebo","Blank","HN",11,0.1,0.014142135623731,0.01
"284","HN_31","Placebo","Blank","HN",14,0.055,0.00707106781186547,0.005
"285","HN_31","Placebo","Blank","HN",15,0.165,0.148492424049175,0.105
"286","HN_31","Placebo","Blank","HN",16,0.64,0.735391052434009,0.52
"287","HN_31","Placebo","Blank","HN",18,0.95,1.10308657865101,0.78
"288","HN_31","Placebo","Blank","HN",21,0.13,0.14142135623731,0.1
"289","HN_31","Placebo","Blank","HN",23,0.265,0.233345237791561,0.165
"290","HN_31","Placebo","Blank","HN",25,1.99,0.438406204335659,0.31
"291","HN_31","Placebo","Blank","HN",29,0.305,0.0636396103067893,0.045
"292","HN_31","Placebo","Blank","HN",31,1.535,0.445477272147525,0.315
"293","HN_31","Placebo","Blank","HN",35,4.805,1.37885822331377,0.975
"294","HN_31","Placebo","Blank","HN",37,2.385,0.0919238815542514,0.0650000000000002
"295","HN_31","Placebo","Blank","HN",39,0.655,0.205060966544099,0.145
"296","HN_31","Placebo","Blank","HN",42,0.36,0.197989898732233,0.14
"297","HN_31","Placebo","Blank","HN",45,0.225,0.304055915910215,0.215
"298","HN_31","Placebo","Blank","HN",50,0.09,0.0989949493661166,0.07
"299","HN_31","Placebo","Blank","HN",52,0.08,0.0707106781186548,0.05
"300","HN_31","Placebo","Coral","HN",1,4.82,1.01843016451792,0.587990929635257
"301","HN_31","Placebo","Coral","HN",2,1.85,1.10267855696935,0.63663176169588
"302","HN_31","Placebo","Coral","HN",3,0.406666666666667,0.176162803489651,0.101707642015949
"303","HN_31","Placebo","Coral","HN",4,0.173333333333333,0.106926766215636,0.0617341972581738
"304","HN_31","Placebo","Coral","HN",7,0.406666666666667,0.176162803489651,0.101707642015949
"305","HN_31","Placebo","Coral","HN",9,0.42,0.294618397253125,0.170098010962308
"306","HN_31","Placebo","Coral","HN",11,0.085,0.0482182538049648,0.0278388218141501
"307","HN_31","Placebo","Coral","HN",14,0.0716666666666667,0.0189296944860009,0.01092906420717
"308","HN_31","Placebo","Coral","HN",15,0.03,0.0435889894354067,0.0251661147842358
"309","HN_31","Placebo","Coral","HN",16,0.33,0.06557438524302,0.0378593889720018
"310","HN_31","Placebo","Coral","HN",18,1.00666666666667,0.329595711946217,0.190292173015894
"311","HN_31","Placebo","Coral","HN",21,0.36,0.124899959967968,0.0721110255092798
"312","HN_31","Placebo","Coral","HN",23,0.156666666666667,0.174737898961082,0.10088497300281
"313","HN_31","Placebo","Coral","HN",25,0.84,0.928924108848511,0.536314584300421
"314","HN_31","Placebo","Coral","HN",29,0.206666666666667,0.281128677536343,0.162309717652531
"315","HN_31","Placebo","Coral","HN",31,0.69,0.521152568831815,0.300887575903914
"316","HN_31","Placebo","Coral","HN",35,3.33,0.815414005275847,0.470779495447001
"317","HN_31","Placebo","Coral","HN",37,1.15333333333333,0.270616579930597,0.156240555270106
"318","HN_31","Placebo","Coral","HN",39,0.765,1.02814152722278,0.593597787507108
"319","HN_31","Placebo","Coral","HN",42,0.563333333333333,0.0832666399786453,0.0480740170061865
"320","HN_31","Placebo","Coral","HN",45,0.0566666666666667,0.0513160143944688,0.0296273147243853
"321","HN_31","Placebo","Coral","HN",50,0.113333333333333,0.0665832811847939,0.0384418753155693
"322","HN_31","Placebo","Coral","HN",52,0.07,0.07,0.0404145188432738
"323","HN_31","SCTLD","Blank","HN",1,5.34,0.763675323681471,0.54
"324","HN_31","SCTLD","Blank","HN",2,2.75,0.254558441227157,0.18
"325","HN_31","SCTLD","Blank","HN",3,0.725,0.162634559672906,0.115
"326","HN_31","SCTLD","Blank","HN",4,0.345,0.0494974746830583,0.035
"327","HN_31","SCTLD","Blank","HN",7,0.725,0.162634559672906,0.115
"328","HN_31","SCTLD","Blank","HN",9,0.595,0.502045814642449,0.355
"329","HN_31","SCTLD","Blank","HN",11,0.205,0.120208152801713,0.085
"330","HN_31","SCTLD","Blank","HN",14,0.055,0.00707106781186547,0.005
"331","HN_31","SCTLD","Blank","HN",15,0.1,0.0424264068711929,0.03
"332","HN_31","SCTLD","Blank","HN",16,0.235,0.190918830920368,0.135
"333","HN_31","SCTLD","Blank","HN",18,2.005,1.64755880016466,1.165
"334","HN_31","SCTLD","Blank","HN",21,0.215,0.148492424049175,0.105
"335","HN_31","SCTLD","Blank","HN",23,0.525,0.346482322781408,0.245
"336","HN_31","SCTLD","Blank","HN",25,3.645,0.459619407771256,0.325
"337","HN_31","SCTLD","Blank","HN",29,2.215,1.13844191771034,0.805
"338","HN_31","SCTLD","Blank","HN",31,2.8025,1.07833784130948,0.7625
"339","HN_31","SCTLD","Blank","HN",35,10.77,0.268700576850889,0.19
"340","HN_31","SCTLD","Blank","HN",37,3.955,4.05172185619892,2.865
"341","HN_31","SCTLD","Blank","HN",39,4.9325,6.10586705554584,4.3175
"342","HN_31","SCTLD","Blank","HN",42,4.585,4.41941738241592,3.125
"343","HN_31","SCTLD","Blank","HN",45,1.405,0.417193000900063,0.295
"344","HN_31","SCTLD","Blank","HN",50,3.025,4.19314321243623,2.965
"345","HN_31","SCTLD","Blank","HN",52,0.27,NA,NA
"346","HN_31","SCTLD","Coral","HN",1,4.17941176470588,0.643850434769552,0.156156667626748
"347","HN_31","SCTLD","Coral","HN",2,1.89647058823529,0.626038548897656,0.151836650753732
"348","HN_31","SCTLD","Coral","HN",3,0.349411764705882,0.236444247874507,0.0573461534444891
"349","HN_31","SCTLD","Coral","HN",4,0.264705882352941,0.537379261405048,0.130333615046436
"350","HN_31","SCTLD","Coral","HN",7,0.349411764705882,0.236444247874507,0.0573461534444891
"351","HN_31","SCTLD","Coral","HN",9,0.352941176470588,0.218482399344957,0.0529897652845669
"352","HN_31","SCTLD","Coral","HN",11,0.150882352941176,0.132384800087161,0.0321080302344496
"353","HN_31","SCTLD","Coral","HN",14,0.140882352941176,0.0609875831142508,0.0147916615900701
"354","HN_31","SCTLD","Coral","HN",15,0.15,0.126243811729526,0.0306186217847897
"355","HN_31","SCTLD","Coral","HN",16,0.249411764705882,0.261186489606452,0.0633470285077465
"356","HN_31","SCTLD","Coral","HN",18,1.25823529411765,0.808302505981808,0.196042153506732
"357","HN_31","SCTLD","Coral","HN",21,0.791470588235294,0.508040859287796,0.123218007351361
"358","HN_31","SCTLD","Coral","HN",23,0.567941176470588,0.514529696736281,0.124791781597689
"359","HN_31","SCTLD","Coral","HN",25,1.63970588235294,1.3803107333453,0.334774526456261
"360","HN_31","SCTLD","Coral","HN",29,1.50823529411765,0.899049743438299,0.218051591463563
"361","HN_31","SCTLD","Coral","HN",31,1.27529411764706,0.517012060389538,0.125393843217899
"362","HN_31","SCTLD","Coral","HN",35,5.165,1.53912312697848,0.513041042326159
"363","HN_31","SCTLD","Coral","HN",37,2.35722222222222,1.5152827935552,0.505094264518399
"364","HN_31","SCTLD","Coral","HN",39,4.17888888888889,2.40302644827541,0.801008816091802
"365","HN_31","SCTLD","Coral","HN",42,2.57222222222222,1.64210061946412,0.547366873154706
"366","HN_31","SCTLD","Coral","HN",45,1.22166666666667,0.779887812444841,0.25996260414828
"367","HN_31","SCTLD","Coral","HN",50,1.24944444444444,3.11322024241424,1.03774008080475
"368","HN_31","SCTLD","Coral","HN",52,4.97833333333333,13.7939696969364,4.5979898989788
