Tank,Beaker ,Fragment,Genotype,Colony,Tag,Nutrients,Temp,Disease,Treatment,Origin,Tissue loss date
1,1,A_740,A,Eevee,740,LN,28,Placebo,LN_28_Placebo,Star Island seawall collapse (June 2022),
1,2,C_534,C,Clefairy,534,LN,28,Placebo,LN_28_Placebo,Star Island seawall collapse (June 2022),
1,3,D_535,D,Ditto,535,LN,28,Placebo,LN_28_Placebo,Star Island seawall collapse (June 2022),
1,5,A_19,A,Eevee,19,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
1,6,C_513,C,Clefairy,513,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
1,7,D_536,D,Ditto,536,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
1,9,A_74,A,Eevee,74,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,10,C_514,C,Clefairy,514,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,11,D_537,D,Ditto,537,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,13,A_79,A,Eevee,79,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,14,C_515,C,Clefairy,515,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
1,15,D_538,D,Ditto,538,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
2,17,A_80,A,Eevee,80,HN,31,Placebo,HN_31_Placebo,Star Island seawall collapse (June 2022),
2,18,D_871,D,Ditto,871,HN,31,Placebo,HN_31_Placebo,Star Island seawall collapse (June 2022),
2,19,D_539,D,Ditto,539,HN,31,Placebo,HN_31_Placebo,Star Island seawall collapse (June 2022),
2,21,A_82,A,Eevee,82,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
2,22,C_517,C,Clefairy,517,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
2,23,D_540,D,Ditto,540,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
2,25,A_83,A,Eevee,83,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,26,C_518,C,Clefairy,518,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,27,D_541,D,Ditto,541,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,29,A_96,A,Eevee,96,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,30,C_519,C,Clefairy,519,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
2,31,D_542,D,Ditto,542,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
5,33,D_873,D,Ditto,873,LN,28,Placebo,LN_28_Placebo,Star Island seawall collapse (June 2022),
5,34,A_105,A,Eevee,105,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
5,35,C_520,C,Clefairy,520,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
5,36,D_543,D,Ditto,543,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
5,37,A_107,A,Eevee,107,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
5,38,C_521,C,Clefairy,521,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
5,39,D_544,D,Ditto,544,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
5,40,A_109,A,Eevee,109,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
5,41,C_522,C,Clefairy,522,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
5,42,D_545,D,Ditto,545,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
5,43,A_110,A,Eevee,110,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
5,44,C_523,C,Clefairy,523,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
5,45,D_546,D,Ditto,546,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
5,46,A_111,A,Eevee,111,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
5,47,C_524,C,Clefairy,524,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
5,48,A_121,A,Eevee,121,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
3,49,A_201,A,Eevee,201,LN,31,Placebo,LN_31_Placebo,Star Island seawall collapse (June 2022),
3,50,C_526,C,Clefairy,526,LN,31,Placebo,LN_31_Placebo,Star Island seawall collapse (June 2022),
3,51,D_547,D,Ditto,547,LN,31,Placebo,LN_31_Placebo,Star Island seawall collapse (June 2022),
3,53,A_202,A,Eevee,202,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
3,54,C_525,C,Clefairy,525,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
3,55,D_548,D,Ditto,548,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
3,57,A_205,A,Eevee,205,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
3,58,C_527,C,Clefairy,527,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
3,59,D_867,D,Ditto,867,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
3,61,A_209,A,Eevee,209,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
3,62,C_528,C,Clefairy,528,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
3,63,D_866,D,Ditto,866,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
4,65,A_214,A,Eevee,214,HN,28,Placebo,HN_28_Placebo,Star Island seawall collapse (June 2022),
4,66,C_511,C,Clefairy,511,HN,28,Placebo,HN_28_Placebo,Star Island seawall collapse (June 2022),
4,67,D_868,D,Ditto,868,HN,28,Placebo,HN_28_Placebo,Star Island seawall collapse (June 2022),
4,69,A_287,A,Eevee,287,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
4,70,C_529,C,Clefairy,529,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
4,71,D_549,D,Ditto,549,HN,28,SCTLD,HN_28_SCTLD,Star Island seawall collapse (June 2022),
4,73,A_305,A,Eevee,305,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
4,74,C_530,C,Clefairy,530,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
4,75,D_860,D,Ditto,860,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
4,77,A_310,A,Eevee,310,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
4,78,C_531,C,Clefairy,531,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
4,79,D_861,D,Ditto,861,LN,28,SCTLD,LN_28_SCTLD,Star Island seawall collapse (June 2022),
8,81,A_303,A,Eevee,303,LN,31,Placebo,LN_31_Placebo,Star Island seawall collapse (June 2022),
8,82,A_321,A,Eevee,321,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
8,83,C_532,C,Clefairy,532,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
8,84,D_862,D,Ditto,862,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
8,85,A_324,A,Eevee,324,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
8,86,C_533,C,Clefairy,533,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
8,87,D_863,D,Ditto,863,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
8,88,A_5,A,Eevee,5,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
8,89,C_512,C,Clefairy,512,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
8,90,D_864,D,Ditto,864,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),
8,91,A_741,A,Eevee,741,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
8,92,C_516,C,Clefairy,516,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
8,93,D_865,D,Ditto,865,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
8,94,D_872,D,Ditto,872,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
8,95,A_742,A,Eevee,742,HN,31,SCTLD,HN_31_SCTLD,Star Island seawall collapse (June 2022),
8,96,A_743,A,Eevee,743,LN,31,SCTLD,LN_31_SCTLD,Star Island seawall collapse (June 2022),