"Date","TimePoint","Genotype","Colony","Fragment","YII","Sample"
"2023-04-27","T0","A","Eevee","A_5",0.664,"T0_A_5"
"2023-04-27","T0","A","Eevee","A_19",0.646,"T0_A_19"
"2023-04-27","T0","A","Eevee","A_74",0.69,"T0_A_74"
"2023-04-27","T0","A","Eevee","A_79",0.673,"T0_A_79"
"2023-04-27","T0","A","Eevee","A_80",0.651,"T0_A_80"
"2023-04-27","T0","A","Eevee","A_82",0.685,"T0_A_82"
"2023-04-27","T0","A","Eevee","A_83",0.661,"T0_A_83"
"2023-04-27","T0","A","Eevee","A_96",0.636,"T0_A_96"
"2023-04-27","T0","A","Eevee","A_105",0.661,"T0_A_105"
"2023-04-27","T0","A","Eevee","A_107",0.667,"T0_A_107"
"2023-04-27","T0","A","Eevee","A_109",0.682,"T0_A_109"
"2023-04-27","T0","A","Eevee","A_110",0.639,"T0_A_110"
"2023-04-27","T0","A","Eevee","A_111",0.659,"T0_A_111"
"2023-04-27","T0","A","Eevee","A_121",0.639,"T0_A_121"
"2023-04-27","T0","A","Eevee","A_201",0.672,"T0_A_201"
"2023-04-27","T0","A","Eevee","A_202",0.665,"T0_A_202"
"2023-04-27","T0","A","Eevee","A_205",0.662,"T0_A_205"
"2023-04-27","T0","A","Eevee","A_209",0.686,"T0_A_209"
"2023-04-27","T0","A","Eevee","A_214",0.661,"T0_A_214"
"2023-04-27","T0","A","Eevee","A_287",0.654,"T0_A_287"
"2023-04-27","T0","A","Eevee","A_305",0.664,"T0_A_305"
"2023-04-27","T0","A","Eevee","A_310",0.667,"T0_A_310"
"2023-04-27","T0","A","Eevee","A_321",0.659,"T0_A_321"
"2023-04-27","T0","A","Eevee","A_324",0.586,"T0_A_324"
"2023-04-27","T0","A","Eevee","A_740",0.585,"T0_A_740"
"2023-04-27","T0","A","Eevee","A_741",0.617,"T0_A_741"
"2023-04-27","T0","A","Eevee","A_742",0.666,"T0_A_742"
"2023-04-27","T0","A","Eevee","A_743",0.656,"T0_A_743"
"2023-04-27","T0","C","Clefairy","C_511",0.532,"T0_C_511"
"2023-04-27","T0","C","Clefairy","C_512",0.534,"T0_C_512"
"2023-04-27","T0","C","Clefairy","C_513",0.529,"T0_C_513"
"2023-04-27","T0","C","Clefairy","C_514",0.535,"T0_C_514"
"2023-04-27","T0","C","Clefairy","C_515",0.543,"T0_C_515"
"2023-04-27","T0","C","Clefairy","C_516",0.545,"T0_C_516"
"2023-04-27","T0","C","Clefairy","C_517",0.55,"T0_C_517"
"2023-04-27","T0","C","Clefairy","C_518",0.546,"T0_C_518"
"2023-04-27","T0","C","Clefairy","C_519",0.556,"T0_C_519"
"2023-04-27","T0","C","Clefairy","C_520",0.529,"T0_C_520"
"2023-04-27","T0","C","Clefairy","C_521",0.537,"T0_C_521"
"2023-04-27","T0","C","Clefairy","C_522",0.527,"T0_C_522"
"2023-04-27","T0","C","Clefairy","C_523",0.547,"T0_C_523"
"2023-04-27","T0","C","Clefairy","C_524",0.522,"T0_C_524"
"2023-04-27","T0","C","Clefairy","C_525",0.547,"T0_C_525"
"2023-04-27","T0","C","Clefairy","C_526",0.542,"T0_C_526"
"2023-04-27","T0","C","Clefairy","C_527",0.551,"T0_C_527"
"2023-04-27","T0","C","Clefairy","C_528",0.526,"T0_C_528"
"2023-04-27","T0","C","Clefairy","C_529",0.535,"T0_C_529"
"2023-04-27","T0","C","Clefairy","C_530",0.541,"T0_C_530"
"2023-04-27","T0","C","Clefairy","C_531",0.543,"T0_C_531"
"2023-04-27","T0","C","Clefairy","C_532",0.533,"T0_C_532"
"2023-04-27","T0","C","Clefairy","C_533",0.541,"T0_C_533"
"2023-04-27","T0","C","Clefairy","C_534",0.547,"T0_C_534"
"2023-04-27","T0","D","Ditto","D_535",0.573,"T0_D_535"
"2023-04-27","T0","D","Ditto","D_536",0.544,"T0_D_536"
"2023-04-27","T0","D","Ditto","D_537",0.544,"T0_D_537"
"2023-04-27","T0","D","Ditto","D_538",0.544,"T0_D_538"
"2023-04-27","T0","D","Ditto","D_539",0.546,"T0_D_539"
"2023-04-27","T0","D","Ditto","D_540",0.559,"T0_D_540"
"2023-04-27","T0","D","Ditto","D_541",0.569,"T0_D_541"
"2023-04-27","T0","D","Ditto","D_542",0.544,"T0_D_542"
"2023-04-27","T0","D","Ditto","D_543",0.534,"T0_D_543"
"2023-04-27","T0","D","Ditto","D_544",0.549,"T0_D_544"
"2023-04-27","T0","D","Ditto","D_545",0.55,"T0_D_545"
"2023-04-27","T0","D","Ditto","D_546",0.574,"T0_D_546"
"2023-04-27","T0","D","Ditto","D_547",0.536,"T0_D_547"
"2023-04-27","T0","D","Ditto","D_548",0.534,"T0_D_548"
"2023-04-27","T0","D","Ditto","D_549",0.556,"T0_D_549"
"2023-04-27","T0","D","Ditto","D_860",0.566,"T0_D_860"
"2023-04-27","T0","D","Ditto","D_861",0.553,"T0_D_861"
"2023-04-27","T0","D","Ditto","D_862",0.549,"T0_D_862"
"2023-04-27","T0","D","Ditto","D_863",0.548,"T0_D_863"
"2023-04-27","T0","D","Ditto","D_864",0.545,"T0_D_864"
"2023-04-27","T0","D","Ditto","D_865",0.534,"T0_D_865"
"2023-04-27","T0","D","Ditto","D_866",0.569,"T0_D_866"
"2023-04-27","T0","D","Ditto","D_867",0.555,"T0_D_867"
"2023-04-27","T0","D","Ditto","D_868",0.568,"T0_D_868"
"2023-04-27","T0","D","Ditto","D_870",0.569,"T0_D_870"
"2023-04-27","T0","D","Ditto","D_871",0.536,"T0_D_871"
"2023-04-27","T0","D","Ditto","D_872",0.556,"T0_D_872"
"2023-04-27","T0","D","Ditto","D_873",0.55,"T0_D_873"
"2023-04-27","T0","D","Ditto","D_874",0.555,"T0_D_874"
"2023-05-12","T1","D","Ditto","D_538",0.652,"T1_D_538"
"2023-05-12","T1","C","Clefairy","C_515",0.639,"T1_C_515"
"2023-05-12","T1","A","Eevee","A_79",0.693,"T1_A_79"
"2023-05-12","T1","A","Eevee","A_74",0.696,"T1_A_74"
"2023-05-12","T1","C","Clefairy","C_514",0.652,"T1_C_514"
"2023-05-12","T1","D","Ditto","D_537",0.669,"T1_D_537"
"2023-05-12","T1","D","Ditto","D_536",0.65,"T1_D_536"
"2023-05-12","T1","C","Clefairy","C_513",0.633,"T1_C_513"
"2023-05-12","T1","A","Eevee","A_19",0.673,"T1_A_19"
"2023-05-12","T1","A","Eevee","A_740",0.673,"T1_A_740"
"2023-05-12","T1","C","Clefairy","C_534",0.639,"T1_C_534"
"2023-05-12","T1","D","Ditto","D_535",0.656,"T1_D_535"
"2023-05-12","T1","D","Ditto","D_546",0.65,"T1_D_546"
"2023-05-12","T1","A","Eevee","A_111",0.682,"T1_A_111"
"2023-05-12","T1","C","Clefairy","C_524",0.629,"T1_C_524"
"2023-05-12","T1","A","Eevee","A_121",0.683,"T1_A_121"
"2023-05-12","T1","C","Clefairy","C_523",0.642,"T1_C_523"
"2023-05-12","T1","A","Eevee","A_110",0.691,"T1_A_110"
"2023-05-12","T1","D","Ditto","D_545",0.656,"T1_D_545"
"2023-05-12","T1","C","Clefairy","C_522",0.635,"T1_C_522"
"2023-05-12","T1","A","Eevee","A_107",0.677,"T1_A_107"
"2023-05-12","T1","C","Clefairy","C_521",0.634,"T1_C_521"
"2023-05-12","T1","D","Ditto","D_544",0.653,"T1_D_544"
"2023-05-12","T1","A","Eevee","A_109",0.688,"T1_A_109"
"2023-05-12","T1","D","Ditto","D_543",0.639,"T1_D_543"
"2023-05-12","T1","C","Clefairy","C_520",0.63,"T1_C_520"
"2023-05-12","T1","A","Eevee","A_105",0.679,"T1_A_105"
"2023-05-12","T1","D","Ditto","D_873",0.595,"T1_D_873"
"2023-05-12","T1","A","Eevee","A_96",0.673,"T1_A_96"
"2023-05-12","T1","C","Clefairy","C_519",0.611,"T1_C_519"
"2023-05-12","T1","D","Ditto","D_542",0.622,"T1_D_542"
"2023-05-12","T1","D","Ditto","D_541",0.626,"T1_D_541"
"2023-05-12","T1","C","Clefairy","C_518",0.616,"T1_C_518"
"2023-05-12","T1","A","Eevee","A_83",0.679,"T1_A_83"
"2023-05-12","T1","A","Eevee","A_82",0.671,"T1_A_82"
"2023-05-12","T1","C","Clefairy","C_517",0.605,"T1_C_517"
"2023-05-12","T1","D","Ditto","D_540",0.636,"T1_D_540"
"2023-05-12","T1","D","Ditto","D_539",0.635,"T1_D_539"
"2023-05-12","T1","D","Ditto","D_871",0.637,"T1_D_871"
"2023-05-12","T1","A","Eevee","A_80",0.673,"T1_A_80"
"2023-05-12","T1","A","Eevee","A_310",0.664,"T1_A_310"
"2023-05-12","T1","C","Clefairy","C_531",0.603,"T1_C_531"
"2023-05-12","T1","D","Ditto","D_861",0.631,"T1_D_861"
"2023-05-12","T1","D","Ditto","D_860",0.632,"T1_D_860"
"2023-05-12","T1","C","Clefairy","C_530",0.621,"T1_C_530"
"2023-05-12","T1","A","Eevee","A_305",0.663,"T1_A_305"
"2023-05-12","T1","A","Eevee","A_287",0.661,"T1_A_287"
"2023-05-12","T1","C","Clefairy","C_529",0.614,"T1_C_529"
"2023-05-12","T1","D","Ditto","D_549",0.65,"T1_D_549"
"2023-05-12","T1","D","Ditto","D_868",0.646,"T1_D_868"
"2023-05-12","T1","C","Clefairy","C_511",0.63,"T1_C_511"
"2023-05-12","T1","A","Eevee","A_214",0.688,"T1_A_214"
"2023-05-12","T1","D","Ditto","D_866",0.637,"T1_D_866"
"2023-05-12","T1","C","Clefairy","C_528",0.606,"T1_C_528"
"2023-05-12","T1","A","Eevee","A_209",0.678,"T1_A_209"
"2023-05-12","T1","A","Eevee","A_205",0.675,"T1_A_205"
"2023-05-12","T1","C","Clefairy","C_527",0.614,"T1_C_527"
"2023-05-12","T1","D","Ditto","D_867",0.643,"T1_D_867"
"2023-05-12","T1","D","Ditto","D_548",0.626,"T1_D_548"
"2023-05-12","T1","C","Clefairy","C_525",0.603,"T1_C_525"
"2023-05-12","T1","A","Eevee","A_202",0.666,"T1_A_202"
"2023-05-12","T1","A","Eevee","A_201",0.667,"T1_A_201"
"2023-05-12","T1","C","Clefairy","C_526",0.599,"T1_C_526"
"2023-05-12","T1","D","Ditto","D_547",0.633,"T1_D_547"
"2023-05-12","T1","A","Eevee","A_743",0.657,"T1_A_743"
"2023-05-12","T1","A","Eevee","A_742",0.673,"T1_A_742"
"2023-05-12","T1","D","Ditto","D_872",0.64,"T1_D_872"
"2023-05-12","T1","D","Ditto","D_865",0.633,"T1_D_865"
"2023-05-12","T1","C","Clefairy","C_512",0.609,"T1_C_512"
"2023-05-12","T1","D","Ditto","D_864",0.641,"T1_D_864"
"2023-05-12","T1","A","Eevee","A_741",0.662,"T1_A_741"
"2023-05-12","T1","C","Clefairy","C_516",0.62,"T1_C_516"
"2023-05-12","T1","A","Eevee","A_5",0.655,"T1_A_5"
"2023-05-12","T1","D","Ditto","D_863",0.626,"T1_D_863"
"2023-05-12","T1","C","Clefairy","C_533",0.612,"T1_C_533"
"2023-05-12","T1","A","Eevee","A_324",0.641,"T1_A_324"
"2023-05-12","T1","A","Eevee","A_303",0.568,"T1_A_303"
"2023-05-12","T1","A","Eevee","A_321",0.657,"T1_A_321"
"2023-05-12","T1","C","Clefairy","C_532",0.601,"T1_C_532"
"2023-05-12","T1","D","Ditto","D_862",0.634,"T1_D_862"
"2023-06-01","T2","A","Eevee","A_740",0.63,"T2_A_740"
"2023-06-01","T2","C","Clefairy","C_534",0.634,"T2_C_534"
"2023-06-01","T2","D","Ditto","D_535",0.652,"T2_D_535"
"2023-06-01","T2","D","Ditto","D_868",0.652,"T2_D_868"
"2023-06-01","T2","C","Clefairy","C_511",0.637,"T2_C_511"
"2023-06-01","T2","A","Eevee","A_214",0.678,"T2_A_214"
"2023-06-01","T2","D","Ditto","D_873",0.624,"T2_D_873"
"2023-06-01","T2","D","Ditto","D_539",0.652,"T2_D_539"
"2023-06-01","T2","D","Ditto","D_871",0.664,"T2_D_871"
"2023-06-01","T2","A","Eevee","A_80",0.68,"T2_A_80"
"2023-06-01","T2","A","Eevee","A_201",0.671,"T2_A_201"
"2023-06-01","T2","C","Clefairy","C_526",0.61,"T2_C_526"
"2023-06-01","T2","D","Ditto","D_547",0.651,"T2_D_547"
"2023-06-01","T2","A","Eevee","A_303",0.657,"T2_A_303"
"2023-06-01","T2","A","Eevee","A_74",0.698,"T2_A_74"
"2023-06-01","T2","C","Clefairy","C_514",0.638,"T2_C_514"
"2023-06-01","T2","D","Ditto","D_537",0.656,"T2_D_537"
"2023-06-01","T2","D","Ditto","D_536",0.655,"T2_D_536"
"2023-06-01","T2","C","Clefairy","C_513",0.652,"T2_C_513"
"2023-06-01","T2","A","Eevee","A_19",0.683,"T2_A_19"
"2023-06-01","T2","D","Ditto","D_538",0.652,"T2_D_538"
"2023-06-01","T2","C","Clefairy","C_515",0.644,"T2_C_515"
"2023-06-01","T2","A","Eevee","A_79",0.695,"T2_A_79"
"2023-06-01","T2","A","Eevee","A_287",0.681,"T2_A_287"
"2023-06-01","T2","C","Clefairy","C_529",0.64,"T2_C_529"
"2023-06-01","T2","D","Ditto","D_549",0.655,"T2_D_549"
"2023-06-01","T2","A","Eevee","A_310",0.659,"T2_A_310"
"2023-06-01","T2","C","Clefairy","C_531",0.631,"T2_C_531"
"2023-06-01","T2","D","Ditto","D_861",0.652,"T2_D_861"
"2023-06-01","T2","D","Ditto","D_860",0.644,"T2_D_860"
"2023-06-01","T2","C","Clefairy","C_530",0.634,"T2_C_530"
"2023-06-01","T2","A","Eevee","A_305",0.666,"T2_A_305"
"2023-06-01","T2","A","Eevee","A_107",0.676,"T2_A_107"
"2023-06-01","T2","C","Clefairy","C_521",0.64,"T2_C_521"
"2023-06-01","T2","D","Ditto","D_544",0.657,"T2_D_544"
"2023-06-01","T2","A","Eevee","A_109",0.68,"T2_A_109"
"2023-06-01","T2","D","Ditto","D_543",0.647,"T2_D_543"
"2023-06-01","T2","C","Clefairy","C_520",0.65,"T2_C_520"
"2023-06-01","T2","A","Eevee","A_105",0.682,"T2_A_105"
"2023-06-01","T2","D","Ditto","D_546",0.638,"T2_D_546"
"2023-06-01","T2","A","Eevee","A_111",0.68,"T2_A_111"
"2023-06-01","T2","C","Clefairy","C_524",0.627,"T2_C_524"
"2023-06-01","T2","A","Eevee","A_121",0.676,"T2_A_121"
"2023-06-01","T2","C","Clefairy","C_523",0.619,"T2_C_523"
"2023-06-01","T2","A","Eevee","A_110",0.669,"T2_A_110"
"2023-06-01","T2","D","Ditto","D_545",0.629,"T2_D_545"
"2023-06-01","T2","C","Clefairy","C_522",0.614,"T2_C_522"
"2023-06-01","T2","A","Eevee","A_96",0.672,"T2_A_96"
"2023-06-01","T2","C","Clefairy","C_519",0.599,"T2_C_519"
"2023-06-01","T2","D","Ditto","D_542",0.637,"T2_D_542"
"2023-06-01","T2","D","Ditto","D_541",0.621,"T2_D_541"
"2023-06-01","T2","C","Clefairy","C_518",0.624,"T2_C_518"
"2023-06-01","T2","A","Eevee","A_83",0.676,"T2_A_83"
"2023-06-01","T2","A","Eevee","A_82",0.672,"T2_A_82"
"2023-06-01","T2","C","Clefairy","C_517",0.606,"T2_C_517"
"2023-06-01","T2","D","Ditto","D_540",0.628,"T2_D_540"
"2023-06-01","T2","D","Ditto","D_866",0.638,"T2_D_866"
"2023-06-01","T2","C","Clefairy","C_528",0.625,"T2_C_528"
"2023-06-01","T2","A","Eevee","A_209",0.672,"T2_A_209"
"2023-06-01","T2","A","Eevee","A_205",0.603,"T2_A_205"
"2023-06-01","T2","C","Clefairy","C_527",0.615,"T2_C_527"
"2023-06-01","T2","D","Ditto","D_867",0.638,"T2_D_867"
"2023-06-01","T2","D","Ditto","D_548",0.635,"T2_D_548"
"2023-06-01","T2","C","Clefairy","C_525",0.612,"T2_C_525"
"2023-06-01","T2","A","Eevee","A_202",0.666,"T2_A_202"
"2023-06-01","T2","A","Eevee","A_321",0.655,"T2_A_321"
"2023-06-01","T2","C","Clefairy","C_532",0.617,"T2_C_532"
"2023-06-01","T2","D","Ditto","D_862",0.634,"T2_D_862"
"2023-06-01","T2","A","Eevee","A_5",0.651,"T2_A_5"
"2023-06-01","T2","D","Ditto","D_863",0.618,"T2_D_863"
"2023-06-01","T2","C","Clefairy","C_533",0.611,"T2_C_533"
"2023-06-01","T2","A","Eevee","A_324",0.667,"T2_A_324"
"2023-06-01","T2","C","Clefairy","C_512",0.612,"T2_C_512"
"2023-06-01","T2","D","Ditto","D_864",0.632,"T2_D_864"
"2023-06-01","T2","A","Eevee","A_741",0.664,"T2_A_741"
"2023-06-01","T2","C","Clefairy","C_516",0.62,"T2_C_516"
"2023-06-01","T2","A","Eevee","A_743",0.658,"T2_A_743"
"2023-06-01","T2","A","Eevee","A_742",0.667,"T2_A_742"
"2023-06-01","T2","D","Ditto","D_872",0.628,"T2_D_872"
"2023-06-01","T2","D","Ditto","D_865",0.626,"T2_D_865"
"2023-06-13","T3","A","Eevee","A_740",0.652,"T3_A_740"
"2023-06-13","T3","C","Clefairy","C_534",0.643,"T3_C_534"
"2023-06-13","T3","D","Ditto","D_535",0.658,"T3_D_535"
"2023-06-13","T3","D","Ditto","D_868",0.651,"T3_D_868"
"2023-06-13","T3","C","Clefairy","C_511",0.64,"T3_C_511"
"2023-06-13","T3","A","Eevee","A_214",0.682,"T3_A_214"
"2023-06-13","T3","D","Ditto","D_873",0.629,"T3_D_873"
"2023-06-13","T3","D","Ditto","D_539",0.64,"T3_D_539"
"2023-06-13","T3","D","Ditto","D_871",0.665,"T3_D_871"
"2023-06-13","T3","A","Eevee","A_80",0.69,"T3_A_80"
"2023-06-13","T3","A","Eevee","A_201",0.672,"T3_A_201"
"2023-06-13","T3","C","Clefairy","C_526",0.626,"T3_C_526"
"2023-06-13","T3","D","Ditto","D_547",0.655,"T3_D_547"
"2023-06-13","T3","A","Eevee","A_74",0.68,"T3_A_74"
"2023-06-13","T3","C","Clefairy","C_514",0.653,"T3_C_514"
"2023-06-13","T3","D","Ditto","D_537",0.67,"T3_D_537"
"2023-06-13","T3","D","Ditto","D_536",0.659,"T3_D_536"
"2023-06-13","T3","C","Clefairy","C_513",0.659,"T3_C_513"
"2023-06-13","T3","A","Eevee","A_19",0.691,"T3_A_19"
"2023-06-13","T3","D","Ditto","D_538",0.658,"T3_D_538"
"2023-06-13","T3","C","Clefairy","C_515",0.651,"T3_C_515"
"2023-06-13","T3","A","Eevee","A_79",0.696,"T3_A_79"
"2023-06-13","T3","A","Eevee","A_287",0.682,"T3_A_287"
"2023-06-13","T3","C","Clefairy","C_529",0.645,"T3_C_529"
"2023-06-13","T3","D","Ditto","D_549",0.655,"T3_D_549"
"2023-06-13","T3","A","Eevee","A_310",0.627,"T3_A_310"
"2023-06-13","T3","C","Clefairy","C_531",0.634,"T3_C_531"
"2023-06-13","T3","D","Ditto","D_861",0.651,"T3_D_861"
"2023-06-13","T3","D","Ditto","D_860",0.646,"T3_D_860"
"2023-06-13","T3","C","Clefairy","C_530",0.644,"T3_C_530"
"2023-06-13","T3","A","Eevee","A_305",0.663,"T3_A_305"
"2023-06-13","T3","A","Eevee","A_107",0.67,"T3_A_107"
"2023-06-13","T3","C","Clefairy","C_521",0.644,"T3_C_521"
"2023-06-13","T3","D","Ditto","D_544",0.662,"T3_D_544"
"2023-06-13","T3","A","Eevee","A_109",0.664,"T3_A_109"
"2023-06-13","T3","D","Ditto","D_543",0.659,"T3_D_543"
"2023-06-13","T3","C","Clefairy","C_520",0.653,"T3_C_520"
"2023-06-13","T3","A","Eevee","A_105",0.675,"T3_A_105"
"2023-06-13","T3","D","Ditto","D_546",0.632,"T3_D_546"
"2023-06-13","T3","A","Eevee","A_111",0.677,"T3_A_111"
"2023-06-13","T3","C","Clefairy","C_524",0.643,"T3_C_524"
"2023-06-13","T3","A","Eevee","A_121",0.677,"T3_A_121"
"2023-06-13","T3","C","Clefairy","C_523",0.64,"T3_C_523"
"2023-06-13","T3","A","Eevee","A_110",0.679,"T3_A_110"
"2023-06-13","T3","D","Ditto","D_545",0.657,"T3_D_545"
"2023-06-13","T3","C","Clefairy","C_522",0.648,"T3_C_522"
"2023-06-13","T3","A","Eevee","A_96",0.684,"T3_A_96"
"2023-06-13","T3","C","Clefairy","C_519",0.636,"T3_C_519"
"2023-06-13","T3","D","Ditto","D_542",0.661,"T3_D_542"
"2023-06-13","T3","D","Ditto","D_541",0.646,"T3_D_541"
"2023-06-13","T3","C","Clefairy","C_518",0.655,"T3_C_518"
"2023-06-13","T3","A","Eevee","A_83",0.686,"T3_A_83"
"2023-06-13","T3","A","Eevee","A_82",0.686,"T3_A_82"
"2023-06-13","T3","C","Clefairy","C_517",0.643,"T3_C_517"
"2023-06-13","T3","D","Ditto","D_540",0.658,"T3_D_540"
"2023-06-13","T3","D","Ditto","D_866",0.638,"T3_D_866"
"2023-06-13","T3","C","Clefairy","C_528",0.634,"T3_C_528"
"2023-06-13","T3","A","Eevee","A_209",0.668,"T3_A_209"
"2023-06-13","T3","A","Eevee","A_205",0.624,"T3_A_205"
"2023-06-13","T3","C","Clefairy","C_527",0.64,"T3_C_527"
"2023-06-13","T3","D","Ditto","D_867",0.65,"T3_D_867"
"2023-06-13","T3","D","Ditto","D_548",0.651,"T3_D_548"
"2023-06-13","T3","C","Clefairy","C_525",0.653,"T3_C_525"
"2023-06-13","T3","A","Eevee","A_202",0.68,"T3_A_202"
