Fragment,TP,Mass (g),Growth (mg/g/d),Date
C_511,T0,15.0959,,2023-04-26
C_512,T0,13.1712,,2023-04-26
C_513,T0,14.4529,,2023-04-26
C_514,T0,18.4907,,2023-04-26
C_515,T0,6.5206,,2023-04-26
C_516,T0,9.4868,,2023-04-26
C_517,T0,17.2044,,2023-04-26
C_518,T0,10.5362,,2023-04-26
C_519,T0,13.2073,,2023-04-26
C_520,T0,12.6680,,2023-04-26
C_521,T0,10.6811,,2023-04-26
C_522,T0,14.0710,,2023-04-26
C_523,T0,12.6987,,2023-04-26
C_524,T0,9.6829,,2023-04-26
C_525,T0,14.3830,,2023-04-26
C_526,T0,12.6809,,2023-04-26
C_527,T0,11.2267,,2023-04-26
C_528,T0,13.0377,,2023-04-26
C_529,T0,10.1626,,2023-04-26
C_530,T0,11.0377,,2023-04-26
C_531,T0,16.9960,,2023-04-26
C_532,T0,14.6441,,2023-04-26
C_533,T0,12.9889,,2023-04-26
C_534,T0,19.5247,,2023-04-26
D_535,T0,17.8036,,2023-04-26
D_536,T0,12.6218,,2023-04-26
D_537,T0,13.3483,,2023-04-26
D_538,T0,9.7725,,2023-04-26
D_539,T0,9.6878,,2023-04-26
D_540,T0,12.9529,,2023-04-26
D_541,T0,13.7173,,2023-04-26
D_542,T0,10.7594,,2023-04-26
D_543,T0,11.7601,,2023-04-26
D_544,T0,12.0926,,2023-04-26
D_545,T0,16.2666,,2023-04-26
D_546,T0,13.5246,,2023-04-26
D_547,T0,16.3586,,2023-04-26
D_548,T0,15.0644,,2023-04-26
D_549,T0,15.7636,,2023-04-26
D_860,T0,7.6145,,2023-04-26
D_861,T0,13.3147,,2023-04-26
D_862,T0,9.9822,,2023-04-26
D_863,T0,18.5896,,2023-04-26
D_864,T0,11.0725,,2023-04-26
D_865,T0,15.8240,,2023-04-26
D_866,T0,16.1434,,2023-04-26
D_867,T0,7.5137,,2023-04-26
D_868,T0,11.0142,,2023-04-26
D_871,T0,8.1321,,2023-04-26
D_872,T0,14.2400,,2023-04-26
D_873,T0,15.9065,,2023-04-26
A_741,T0,17.2043,,2023-04-26
A_740,T0,13.4759,,2023-04-26
A_110,T0,18.7846,,2023-04-26
A_96,T0,12.7353,,2023-04-26
A_121,T0,23.2314,,2023-04-26
A_324,T0,14.8728,,2023-04-26
A_83,T0,18.9544,,2023-04-26
A_5,T0,7.1904,,2023-04-26
A_305,T0,15.6716,,2023-04-26
A_201,T0,18.9751,,2023-04-26
A_109,T0,17.0252,,2023-04-26
A_321,T0,12.7930,,2023-04-26
A_19,T0,15.2889,,2023-04-26
A_287,T0,14.6634,,2023-04-26
A_79,T0,11.8897,,2023-04-26
A_105,T0,20.6779,,2023-04-26
A_214,T0,14.8287,,2023-04-26
A_107,T0,18.3510,,2023-04-26
A_202,T0,11.2436,,2023-04-26
A_74,T0,23.4345,,2023-04-26
A_80,T0,14.5820,,2023-04-26
A_742,T0,18.2501,,2023-04-26
A_82,T0,12.6605,,2023-04-26
A_209,T0,13.6197,,2023-04-26
A_743,T0,10.3682,,2023-04-26
A_205,T0,7.4895,,2023-04-26
A_111,T0,11.7450,,2023-04-26
A_310,T0,12.4241,,2023-04-26
A_303,T0,14.0002,,2023-04-26
C_511,T1,15.3489,0.8820,2023-05-15
C_512,T1,13.3362,0.6593,2023-05-15
C_513,T1,14.7439,1.0598,2023-05-15
C_514,T1,18.6947,0.5807,2023-05-15
C_515,T1,6.5634,0.3458,2023-05-15
C_516,T1,9.6504,0.9074,2023-05-15
C_517,T1,17.5507,1.0593,2023-05-15
C_518,T1,10.7893,1.2640,2023-05-15
C_519,T1,13.4447,0.9459,2023-05-15
C_520,T1,12.9676,1.2447,2023-05-15
C_521,T1,10.9181,1.1680,2023-05-15
C_522,T1,14.2357,0.6163,2023-05-15
C_523,T1,12.8851,0.7726,2023-05-15
C_524,T1,9.9488,1.4455,2023-05-15
C_525,T1,14.5651,0.6664,2023-05-15
C_526,T1,12.8501,0.7023,2023-05-15
C_527,T1,11.3377,0.5205,2023-05-15
C_528,T1,13.2502,0.8577,2023-05-15
C_529,T1,10.2652,0.5314,2023-05-15
C_530,T1,11.2515,1.0196,2023-05-15
C_531,T1,17.2404,0.7569,2023-05-15
C_532,T1,14.8791,0.8448,2023-05-15
C_533,T1,13.0893,0.4068,2023-05-15
C_534,T1,19.7052,0.4865,2023-05-15
D_535,T1,17.9202,0.3446,2023-05-15
D_536,T1,12.7714,0.6236,2023-05-15
D_537,T1,13.4509,0.4044,2023-05-15
D_538,T1,9.7236,-0.2633,2023-05-15
D_539,T1,9.8098,0.6629,2023-05-15
D_540,T1,12.9948,0.1702,2023-05-15
D_541,T1,13.8004,0.3191,2023-05-15
D_542,T1,10.8985,0.6803,2023-05-15
D_543,T1,11.8860,0.5637,2023-05-15
D_544,T1,12.1699,0.3365,2023-05-15
D_545,T1,16.4025,0.4400,2023-05-15
D_546,T1,13.6155,0.3540,2023-05-15
D_547,T1,16.6289,0.8697,2023-05-15
D_548,T1,15.2835,0.7657,2023-05-15
D_549,T1,16.0849,1.0728,2023-05-15
D_860,T1,7.7632,1.0281,2023-05-15
D_861,T1,13.4628,0.5851,2023-05-15
D_862,T1,10.1673,0.9763,2023-05-15
D_863,T1,18.8342,0.6924,2023-05-15
D_864,T1,11.1898,0.5576,2023-05-15
D_865,T1,16.0119,0.6249,2023-05-15
D_866,T1,16.2760,0.4322,2023-05-15
D_867,T1,7.6430,0.9059,2023-05-15
D_868,T1,11.0767,0.2987,2023-05-15
D_871,T1,8.1850,0.3430,2023-05-15
D_872,T1,14.2835,0.1608,2023-05-15
D_873,T1,15.9449,0.1272,2023-05-15
A_741,T1,17.6715,1.5087,2023-05-15
A_740,T1,13.7732,1.2258,2023-05-15
A_110,T1,18.9361,0.4481,2023-05-15
A_96,T1,12.8362,0.4402,2023-05-15
A_121,T1,23.2880,0.1354,2023-05-15
A_324,T1,15.7417,3.2454,2023-05-15
A_83,T1,18.9887,0.1006,2023-05-15
A_5,T1,7.2476,0.4423,2023-05-15
A_305,T1,15.9346,0.9324,2023-05-15
A_201,T1,19.0349,0.1750,2023-05-15
A_109,T1,17.1750,0.4887,2023-05-15
A_321,T1,12.8618,0.2987,2023-05-15
A_19,T1,15.3336,0.1626,2023-05-15
A_287,T1,14.7084,0.1705,2023-05-15
A_79,T1,12.0110,0.5667,2023-05-15
A_105,T1,20.7853,0.2887,2023-05-15
A_214,T1,14.9147,0.3222,2023-05-15
A_107,T1,18.5417,0.5773,2023-05-15
A_202,T1,11.6082,1.8012,2023-05-15
A_74,T1,23.5478,0.2686,2023-05-15
A_80,T1,14.6162,0.1302,2023-05-15
A_742,T1,18.6479,1.2110,2023-05-15
A_82,T1,12.6617,0.0052,2023-05-15
A_209,T1,13.6898,0.2857,2023-05-15
A_743,T1,10.6637,1.5835,2023-05-15
A_205,T1,7.5193,0.2207,2023-05-15
A_111,T1,11.9419,0.9313,2023-05-15
A_310,T1,12.5162,0.4120,2023-05-15
A_303,T1,14.1216,0.2798,2023-05-15
C_511,T2,15.5298,0.4048,2023-06-14
C_512,T2,13.4944,0.5304,2023-06-14
C_513,T2,14.7892,0.1312,2023-06-14
C_514,T2,18.7771,0.2891,2023-06-14
C_515,T2,6.7919,1.2000,2023-06-14
C_516,T2,9.6523,0.0355,2023-06-14
C_517,T2,17.7192,0.3610,2023-06-14
C_518,T2,10.8974,0.3729,2023-06-14
C_519,T2,13.6876,0.6674,2023-06-14
C_520,T2,13.0811,0.3348,2023-06-14
C_521,T2,11.0254,0.3711,2023-06-14
C_522,T2,14.5491,0.7183,2023-06-14
C_523,T2,12.9527,0.2160,2023-06-14
C_524,T2,10.0853,0.5200,2023-06-14
C_525,T2,14.7151,0.3619,2023-06-14
C_526,T2,13.0491,0.5459,2023-06-14
C_527,T2,11.4437,0.3388,2023-06-14
C_528,T2,13.4850,0.6003,2023-06-14
C_529,T2,10.3023,0.1361,2023-06-14
C_530,T2,11.4399,0.5856,2023-06-14
C_531,T2,17.5534,0.6301,2023-06-14
C_532,T2,15.0149,0.2851,2023-06-14
C_533,T2,13.1260,0.0977,2023-06-14
C_534,T2,19.8554,0.2636,2023-06-14
D_535,T2,18.0095,0.2087,2023-06-14
D_536,T2,12.8021,0.1418,2023-06-14
D_537,T2,13.5227,0.2355,2023-06-14
D_538,T2,9.7328,0.2542,2023-06-14
D_539,T2,9.8733,0.3441,2023-06-14
D_540,T2,13.0137,0.0990,2023-06-14
D_541,T2,13.8305,0.1151,2023-06-14
D_542,T2,11.0582,0.5653,2023-06-14
D_543,T2,12.0408,0.5115,2023-06-14
D_544,T2,12.1817,0.1098,2023-06-14
D_545,T2,16.5043,0.2486,2023-06-14
D_546,T2,13.5805,0.5603,2023-06-14
D_547,T2,16.9463,0.9128,2023-06-14
D_548,T2,15.4579,0.4823,2023-06-14
D_549,T2,15.9258,0.1453,2023-06-14
D_860,T2,7.9583,0.9265,2023-06-14
D_861,T2,13.6872,0.5726,2023-06-14
D_862,T2,10.3115,0.5042,2023-06-14
D_863,T2,18.7941,-0.0293,2023-06-14
D_864,T2,11.1924,0.0074,2023-06-14
D_865,T2,16.0002,0.0193,2023-06-14
D_866,T2,16.3649,0.2031,2023-06-14
D_867,T2,7.7151,0.4440,2023-06-14
D_868,T2,11.1642,0.2743,2023-06-14
D_871,T2,8.2757,0.4396,2023-06-14
D_872,T2,14.2110,-0.1102,2023-06-14
D_873,T2,16.1490,0.5088,2023-06-14
A_741,T2,17.6438,0.0045,2023-06-14
A_740,T2,13.9565,0.5166,2023-06-14
A_110,T2,19.0319,0.2026,2023-06-14
A_96,T2,12.9818,0.5716,2023-06-14
A_121,T2,23.4001,0.1751,2023-06-14
A_324,T2,14.8749,0.0029,2023-06-14
A_83,T2,19.1602,0.3633,2023-06-14
A_5,T2,7.5190,1.3955,2023-06-14
A_305,T2,16.1807,0.5849,2023-06-14
A_201,T2,19.1915,0.3069,2023-06-14
A_109,T2,17.3109,0.3396,2023-06-14
A_321,T2,13.1729,0.8117,2023-06-14
A_19,T2,15.4178,0.2213,2023-06-14
A_287,T2,14.8644,0.2889,2023-06-14
A_79,T2,12.1150,0.3393,2023-06-14
A_105,T2,21.0448,0.4631,2023-06-14
A_214,T2,15.2155,0.7523,2023-06-14
A_107,T2,18.7648,0.4587,2023-06-14
A_202,T2,11.7371,0.4197,2023-06-14
A_74,T2,23.6504,0.1659,2023-06-14
A_80,T2,14.6473,0.1496,2023-06-14
A_742,T2,18.7528,0.2473,2023-06-14
A_82,T2,12.9066,0.6599,2023-06-14
A_209,T2,13.9268,0.6475,2023-06-14
A_743,T2,10.7242,0.2606,2023-06-14
A_205,T2,7.6564,0.6930,2023-06-14
A_111,T2,11.9356,0.1194,2023-06-14
A_310,T2,12.7121,0.6263,2023-06-14
A_303,T2,14.1582,0.1108,2023-06-14